original,leicht
"Die Telefonnummern finden Sie unter ""Kontakt"".",Die Adresse und Telefon-Nummer steht unter der Überschrift:
"Weitere Informationen Ist der Vater des Kindes nicht bereit die Vaterschaft zu dem Kind freiwillig anzuerkennen, so ist beim Familiengericht ein Antrag auf Feststellung der Vaterschaft zu stellen.",Wo kann ich die Vaterschaft anerkennen lassen?
Die Urkunden können Sie bundesweit bei jedem Jugendamt erstellen lassen.,Sie müssen dazu ins Jugend-Amt .
"Weitere Informationen Ist der Vater des Kindes nicht bereit die Vaterschaft zu dem Kind freiwillig anzuerkennen, so ist beim Familiengericht ein Antrag auf Feststellung der Vaterschaft zu stellen.",Das bedeutet: Ein Gericht klärt dann die Vaterschaft.
"Weitere Informationen Ist der Vater des Kindes nicht bereit die Vaterschaft zu dem Kind freiwillig anzuerkennen, so ist beim Familiengericht ein Antrag auf Feststellung der Vaterschaft zu stellen.","Der Beistand leitet manchmal ein gerichtliches Verfahren ein, um die Vaterschaft zu klären."
"Weitere Informationen Ist der Vater des Kindes nicht bereit die Vaterschaft zu dem Kind freiwillig anzuerkennen, so ist beim Familiengericht ein Antrag auf Feststellung der Vaterschaft zu stellen.",Mehr Informationen dazu stehen unter der Überschrift:
"Die Anerkennung der Vaterschaft ist eine Erklärung ""Vater des Kindes zu sein"".","Wichtig: Wenn der Mann die Vaterschaft frei-willig anerkennt, dann können wir die Vaterschaft be-urkunden ."
Die Urkunden können Sie bundesweit bei jedem Jugendamt erstellen lassen.,Das heißt: Sie bekommen eine Urkunde vom Amt.
"Die Anerkennung der Vaterschaft ist eine Erklärung ""Vater des Kindes zu sein"".",Ein Mann ist der Vater von einem Kind.
"Wenden Sie sich hierzu bitte an das für Ihren Wohnort zuständige Bezirksjugendamt, Bereich Beistandschaft.",Klicken Sie auf ein Amt in Ihrer Nähe .
"Die Anerkennung der Vaterschaft ist eine Erklärung ""Vater des Kindes zu sein"".",Vater-schaft heißt:
"Sie war dreißig Jahre alt, als ich, am Tage meiner Ankunft in B., an der spärlich besetzten Table d’hôte einer kleinen Pension mit ihr zusammentraf: – eine große Person mit flacher Brust, flachen Hüften, hellgrünlichen Augen, die keines verwirrten Ausdrucks fähig waren, einer übermäßig aufgeworfenen Nase und einer kunstlosen Frisur von indifferentem Blond.",Ihre Frisur und ihr Kleid waren nichts Besonderes.
Ihr schlichtes dunkelbraunes Kleid war so schmuck- und koketterielos wie ihre Hände.,Ihre Frisur und ihr Kleid waren nichts Besonderes.
"Dreier Sprachen, des Russischen, Französischen und Deutschen, mächtig, war sie als Gouvernante nach Deutschland gekommen;",Dunja Stegemann konnte drei Sprachen sprechen:
"Als ich Dunja Stegemann kennenlernte, war ich zwanzig Jahre alt und von extremer Gimpelhaftigkeit.",Ich habe mal eine Frau getroffen.
"Dreier Sprachen, des Russischen, Französischen und Deutschen, mächtig, war sie als Gouvernante nach Deutschland gekommen;","Russisch, Französisch und Deutsch."
"– Was die Stegemann anging, so war sie zu Moskau von deutschen Eltern geboren und dortselbst, oder doch in Russland, aufgewachsen.",Die Eltern von Dunja Stegemann waren Deutsche.
"Als ich Dunja Stegemann kennenlernte, war ich zwanzig Jahre alt und von extremer Gimpelhaftigkeit.",Damals war ich 20 Jahre alt.
"[…] Als ich Dunja Stegemann kennenlernte, war ich zwanzig Jahre alt und von extremer Gimpelhaftigkeit.",Damals war ich 20 Jahre alt.
"– Was die Stegemann anging, so war sie zu Moskau von deutschen Eltern geboren und dortselbst, oder doch in Russland, aufgewachsen.",Sie wurde dort in der Stadt Moskau geboren.
"aber mit artistischen Instinkten ausgestattet, hatte sie diesen Beruf nach einigen Jahren fahren gelassen und lebte nun als intelligentes und freies Frauenzimmer, als Philosophin und Junggesellin, indem sie eine Zeitung zweiten oder dritten Ranges mit Literatur- und Musikberichten versah.",Danach hat sie für eine Zeitung gearbeitet.
"Als ich Dunja Stegemann kennenlernte, war ich zwanzig Jahre alt und von extremer Gimpelhaftigkeit.",Und damals wusste ich noch nichts vom Leben.
"Als ich Dunja Stegemann kennenlernte, war ich zwanzig Jahre alt und von extremer Gimpelhaftigkeit.",Die Frau hieß Dunja Stegemann.
"[…] Als ich Dunja Stegemann kennenlernte, war ich zwanzig Jahre alt und von extremer Gimpelhaftigkeit.",Die Frau hieß Dunja Stegemann.
"Sie war dreißig Jahre alt, als ich, am Tage meiner Ankunft in B., an der spärlich besetzten Table d’hôte einer kleinen Pension mit ihr zusammentraf: – eine große Person mit flacher Brust, flachen Hüften, hellgrünlichen Augen, die keines verwirrten Ausdrucks fähig waren, einer übermäßig aufgeworfenen Nase und einer kunstlosen Frisur von indifferentem Blond.",Ihre Augen waren grün.
"– Was die Stegemann anging, so war sie zu Moskau von deutschen Eltern geboren und dortselbst, oder doch in Russland, aufgewachsen.",Dunja Stegemann ist in Russland aufgewachsen.
"Sie war dreißig Jahre alt, als ich, am Tage meiner Ankunft in B., an der spärlich besetzten Table d’hôte einer kleinen Pension mit ihr zusammentraf: – eine große Person mit flacher Brust, flachen Hüften, hellgrünlichen Augen, die keines verwirrten Ausdrucks fähig waren, einer übermäßig aufgeworfenen Nase und einer kunstlosen Frisur von indifferentem Blond.",Damals war sie 30 Jahre alt.
"Sie war dreißig Jahre alt, als ich, am Tage meiner Ankunft in B., an der spärlich besetzten Table d’hôte einer kleinen Pension mit ihr zusammentraf: – eine große Person mit flacher Brust, flachen Hüften, hellgrünlichen Augen, die keines verwirrten Ausdrucks fähig waren, einer übermäßig aufgeworfenen Nase und einer kunstlosen Frisur von indifferentem Blond.",Sie war groß.
"Meine Begierden waren zügellos, ohne Skrupel gab ich mich ihrer Befriedigung hin, und mit der neugierigen Lasterhaftigkeit meiner Lebensführung verband ich aufs Anmutigste jenen Idealismus, der mich zum Beispiel die reine, geistige – aber absolut geistige – Vertrautheit mit einer Frau innig erwünschen ließ.",Eine Frau nur zum Reden.
Noch niemals hatte ich bei einer Frau eine so unzweideutige und resolute Hässlichkeit gesehen.,Ich fand die Frau sehr hässlich.
"Dreier Sprachen, des Russischen, Französischen und Deutschen, mächtig, war sie als Gouvernante nach Deutschland gekommen;",In Deutschland hat sie erst als Lehrerin gearbeitet.
"aber mit artistischen Instinkten ausgestattet, hatte sie diesen Beruf nach einigen Jahren fahren gelassen und lebte nun als intelligentes und freies Frauenzimmer, als Philosophin und Junggesellin, indem sie eine Zeitung zweiten oder dritten Ranges mit Literatur- und Musikberichten versah.",Da hat sie Texte über Bücher und über Musik geschrieben.
"Die Tagesgestaltung ist ein Angebot für Menschen mit Behinderung, die (noch) nicht oder nicht mehr in einer Werkstatt für behinderte Menschen tätig sind.","Die Tages-Betreuung ist für Menschen mit Behinderung, die nicht arbeiten gehen."
"Diverse Freizeitangebote wie Kegeln, Schwimmen, Disco oder die integrative Tanzgruppe runden das Angebot der Lebenshilfe ab.",Die Lebenshilfe macht viele Freizeit-Angebote .
Die Frühförderung fördert rund 310 Kleinkinder im Vorschulalter und berät und begleitet deren Familien.,Die Früh-Förder-Stelle hilft über 310 kleinen Kindern.
Im Wohnverbund mit 5 Wohnhäusern und dem Betreuten Wohnen leben über 150 Menschen mit Behinderung.,Über 150 Menschen wohnen bei der Lebenshilfe .
informiert ein- bis zwei Mal järhrlich über Arbeit und Angebote der Lebenshilfe Main-Taunus.,"Hier finden Sie eine kurze Beschreibung zu allem, was die Lebenshilfe anbietet."
Die Frühförderung fördert rund 310 Kleinkinder im Vorschulalter und berät und begleitet deren Familien.,Der FuD betreut über 350 Kinder und Jugendliche.
"Der Familienunterstützende Dienst (FuD) betreut über 350 Kinder, Jugendliche und Erwachsene in Freizeitgruppen, bei Einzelbetreuungen, Ferienspielen, Freizeiten und in der Schule.",Der FuD betreut über 350 Kinder und Jugendliche.
"Diverse Freizeitangebote wie Kegeln, Schwimmen, Disco oder die integrative Tanzgruppe runden das Angebot der Lebenshilfe ab.","Zum Beispiel: Kegeln, Schwimmen, Disco oder Tanz-Gruppen."
"Insgesamt erhalten 48 Menschen in den Wohneinrichtungen der Lebenshilfe ein Angebot der Tagesgestaltung, 20 davon im Haus Trappen in Eschborn.",Die Tages-Betreuung findet in den Wohnhäusern statt.
Im Treffpunkt Leichte Sprache werden Texte in Leichte Sprache und in verständliche Verwaltungssprache übersetzt.,"Hier kann sich jeder Bücher, Hefte und Spiele in Leichter Sprache ausleihen."
"Außerdem gibt es hier eine Bücherei für Leichte Sprache, die allen Interessierten offen steht.","Hier kann sich jeder Bücher, Hefte und Spiele in Leichter Sprache ausleihen."
e.V. Nachtigallenweg 19 65779 Kelkheim Telefon: 0 61 95 / 60 08-0 Telefax: 0 61 95 / 60 08-199 E-Mail:,Fax: 0 61 95 / 60 08-199 E-Mail: info@lebenshilfe-main-taunus.de Taunus-Sparkasse IBAN: DE04 5125 0000 0005003326 BIC: HELADEF1TSK
Taunussparkasse IBAN: DE04 5125 0000 0005 0033 26 BIC: HELADEF1TSK Kontakt,Fax: 0 61 95 / 60 08-199 E-Mail: info@lebenshilfe-main-taunus.de Taunus-Sparkasse IBAN: DE04 5125 0000 0005003326 BIC: HELADEF1TSK
Die Frühförderung fördert rund 310 Kleinkinder im Vorschulalter und berät und begleitet deren Familien.,"Die Beratungs-Stelle berät und begleitet Kinder, Jugendliche, junge Erwachsene und ihre Familien."
Die Beratungsstelle STARK - EUTB Main-Taunus berät und begleitet Menschen mit und ohne Behinderung.,"Die Beratungs-Stelle berät und begleitet Kinder, Jugendliche, junge Erwachsene und ihre Familien."
Die Zeitung „Lebenshilfe inform“ informiert ein- bis zwei Mal järhrlich über Arbeit und Angebote der Lebenshilfe Main-Taunus.,Ein bis zwei Mal im Jahr gibt es die Zeitung Lebenshilfe inform.
Die Zeitung „Lebenshilfe inform“,Ein bis zwei Mal im Jahr gibt es die Zeitung Lebenshilfe inform.
Der FuD ist eine anerkannte Beratungsstelle.,Der FuD macht zum Beispiel:
Die Zeitung „Lebenshilfe inform“ informiert ein- bis zwei Mal järhrlich über Arbeit und Angebote der Lebenshilfe Main-Taunus.,Darin stehen spannende Berichte über die Lebenshilfe Main-Taunus.
Im Wohnverbund mit 5 Wohnhäusern und dem Betreuten Wohnen leben über 150 Menschen mit Behinderung.,Sie leben in einem der 5 Wohnheime oder im Betreuten Wohnen oder in den WGs MitLeben .
"Der Familienunterstützende Dienst (FuD) betreut über 350 Kinder, Jugendliche und Erwachsene in Freizeitgruppen, bei Einzelbetreuungen, Ferienspielen, Freizeiten und in der Schule.","Ausflüge, Treffen für Jugendliche, Ferien-Spiele und Betreuungen in der Familie."
Main-Taunus berät und begleitet Menschen mit und ohne Behinderung.,Sie ist für Menschen mit Behinderung und ihre Familien da.
Die Frühförderung fördert rund 310 Kleinkinder im Vorschulalter und berät und begleitet deren Familien.,"Die Früh-Förder-Stelle berät und unterstützt auch Eltern, Erzieherinnen, Lehrerinnen und Lehrer."
"2003 wurde die Stiftung Lebenshilfe Main-Taunus gegründet, die bis heute bereits zahlreiche Anträge auf Förderung bewilligen konnte.",Seit 2003 gibt es die Stiftung Lebenshilfe Main-Taunus.
"Alle Einrichtungen und Dienste finden Sie in unsererem Faktenblatt """,Möchten Sie mehr Informationen?
Im Treffpunkt Leichte Sprache werden Texte in Leichte Sprache und in verständliche Verwaltungssprache übersetzt.,Im Treffpunkt Leichte Sprache werden viele Texte geschrieben.
Der FuD ist eine anerkannte Beratungsstelle.,Der Familien unterstützende Dienst heißt kurz FuD.
e.V. Nachtigallenweg 19 65779 Kelkheim Telefon: 0 61 95 / 60 08-0 Telefax: 0 61 95 / 60 08-199 E-Mail:,19 65779 Kelkheim Telefon: 0 61 95 / 60 08-0
"Außerdem gibt es hier eine Bücherei für Leichte Sprache, die allen Interessierten offen steht.",Und es gibt eine Bücherei für Leichte Sprache.
"2003 wurde die Stiftung Lebenshilfe Main-Taunus gegründet, die bis heute bereits zahlreiche Anträge auf Förderung bewilligen konnte.",Sie hat schon viele gute Sachen mit Geld unterstützen können.
Die Beratungsstelle STARK - EUTB,Hier kommen Sie zum Programm von STARK.
Im Treffpunkt Leichte Sprache werden Texte in Leichte Sprache und in verständliche Verwaltungssprache übersetzt.,"Menschen mit Lern-Schwierigkeiten prüfen, ob man die Texte gut verstehen kann."
e.V. Nachtigallenweg 19 65779 Kelkheim Telefon: 0 61 95 / 60 08-0,19 65779 Kelkheim Telefon: 0 61 95 / 60 08-0 Fax: 0 61 95 / 60 08-199 E-Mail:
Taunussparkasse IBAN: DE04 5125 0000 0005 0033 26 BIC: HELADEF1TSK Kontakt Lebenshilfe,info@lebenshilfe-main-taunus.de Taunus-Sparkasse IBAN: DE04 5125 0000 0005003326 BIC:
"Sprechen Sie uns an, wir freuen uns auf Sie!",Sprechen Sie uns an.
"Unsere Fachkräfte beraten, informieren, fördern, begleiten und unterstützen Sie gerne.",Unsere Angebote richten sich an: Wir beraten und unterstützen Sie gerne.
"Sprechen Sie uns an, wir freuen uns auf Sie!",Wir freuen uns auf Sie!
Die Lebenshilfe Main-Taunus steht den Menschen mit Behinderung und ihren Familien in allen Lebensphasen mit Rat und Tat zur Seite.,Zum Beispiel: Die Lebenshilfe steht den Menschen mit Behinderung und ihren Familien gerne mit Rat und Tat zur Seite.
"Unsere Fachkräfte beraten, informieren, fördern, begleiten und unterstützen Sie gerne.",Wir beraten und unterstützen Sie gerne.
"Wer ein Kind mit Behinderung erwartet, hat oft viele Fragen.",Rund um das Thema Behinderung haben viele Menschen Fragen.
"Wer in Beziehung auf einen anderen eine Tatsache behauptet oder verbreitet, welche denselben verächtlich zu machen oder in der öffentlichen Meinung herabzuwürdigen geeignet ist, wird, wenn nicht diese Tatsache erweislich wahr ist, mit Freiheitsstrafe bis zu einem Jahr oder mit Geldstrafe und, wenn die Tat öffentlich oder durch Verbreiten von Schriften (§ 11 Abs. 3) begangen ist, mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe bestraft.","Das passiert, wenn ich es vielen Leuten erzählt habe: – Ich muss bis zu zwei Jahre ins Gefängnis, – oder ich muss Geld bezahlen."
"Wer in Beziehung auf einen anderen eine Tatsache behauptet oder verbreitet, welche denselben verächtlich zu machen oder in der öffentlichen Meinung herabzuwürdigen geeignet ist, wird, wenn nicht diese Tatsache erweislich wahr ist, mit Freiheitsstrafe bis zu einem Jahr oder mit Geldstrafe und, wenn die Tat öffentlich oder durch Verbreiten von Schriften (§ 11 Abs. 3) begangen ist, mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe bestraft.",Das bedeutet „üble Nachrede“: – Wenn ich über einen anderen Menschen schlecht rede. – Wenn das dem anderen Menschen peinlich ist oder ihm schaden kann. – Wenn ich die Sachen nicht beweisen kann.
"Wer in Beziehung auf einen anderen eine Tatsache behauptet oder verbreitet, welche denselben verächtlich zu machen oder in der öffentlichen Meinung herabzuwürdigen geeignet ist, wird, wenn nicht diese Tatsache erweislich wahr ist, mit Freiheitsstrafe bis zu einem Jahr oder mit Geldstrafe und, wenn die Tat öffentlich oder durch Verbreiten von Schriften (§ 11 Abs. 3) begangen ist, mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe bestraft.","Das passiert, wenn ich es nur wenigen Leuten erzählt habe: – Ich muss bis zu zwei Jahre ins Gefängnis, – oder ich muss Geld bezahlen."
"Wer in Beziehung auf einen anderen eine Tatsache behauptet oder verbreitet, welche denselben verächtlich zu machen oder in der öffentlichen Meinung herabzuwürdigen geeignet ist, wird, wenn nicht diese Tatsache erweislich wahr ist, mit Freiheitsstrafe bis zu einem Jahr oder mit Geldstrafe und, wenn die Tat öffentlich oder durch Verbreiten von Schriften (§ 11 Abs. 3) begangen ist, mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe bestraft.",Die „üble Nachrede“ ist eine Straf·Tat.
"Wer in Beziehung auf einen anderen eine Tatsache behauptet oder verbreitet, welche denselben verächtlich zu machen oder in der öffentlichen Meinung herabzuwürdigen geeignet ist, wird, wenn nicht diese Tatsache erweislich wahr ist, mit Freiheitsstrafe bis zu einem Jahr oder mit Geldstrafe und, wenn die Tat öffentlich oder durch Verbreiten von Schriften (§ 11 Abs. 3) begangen ist, mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe bestraft.","Das passiert, wenn ich es vielen Leuten erzählt habe: – Ich muss bis zu fünf Jahre ins Gefängnis, – oder ich muss Geld bezahlen."
"Wer wider besseres Wissen in Beziehung auf einen anderen eine unwahre Tatsache behauptet oder verbreitet, welche denselben verächtlich zu machen oder in der öffentlichen Meinung herabzuwürdigen oder dessen Kredit zu gefährden geeignet ist, wird mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe und, wenn die Tat öffentlich, in einer Versammlung oder durch Verbreiten von Schriften (§ 11 Abs. 3) begangen ist, mit Freiheitsstrafe bis zu fünf Jahren oder mit Geldstrafe bestraft.","Das passiert, wenn ich es vielen Leuten erzählt habe: – Ich muss bis zu fünf Jahre ins Gefängnis, – oder ich muss Geld bezahlen."
"Wer in Beziehung auf einen anderen eine Tatsache behauptet oder verbreitet, welche denselben verächtlich zu machen oder in der öffentlichen Meinung herabzuwürdigen geeignet ist, wird, wenn nicht diese Tatsache erweislich wahr ist, mit Freiheitsstrafe bis zu einem Jahr oder mit Geldstrafe und, wenn die Tat öffentlich oder durch Verbreiten von Schriften (§ 11 Abs. 3) begangen ist, mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe bestraft.",Das ist auch verboten: über andere Leute Lügen erzählen
"Wer in Beziehung auf einen anderen eine Tatsache behauptet oder verbreitet, welche denselben verächtlich zu machen oder in der öffentlichen Meinung herabzuwürdigen geeignet ist, wird, wenn nicht diese Tatsache erweislich wahr ist, mit Freiheitsstrafe bis zu einem Jahr oder mit Geldstrafe und, wenn die Tat öffentlich oder durch Verbreiten von Schriften (§ 11 Abs. 3) begangen ist, mit Freiheitsstrafe bis zu zwei Jahren oder mit Geldstrafe bestraft.","Das passiert, wenn ich es nur wenigen Leuten erzählt habe: – Ich muss bis zu einem Jahr ins Gefängnis, – oder ich muss Geld bezahlen."
